total_bill,tip,sex,smoker,day,time,size
27.28,4.00,Male,Yes,Fri,Dinner,2
12.03,1.50,Male,Yes,Fri,Dinner,2
21.01,3.00,Male,Yes,Fri,Dinner,2
12.46,1.50,Male,Yes,Fri,Dinner,2
11.35,2.50,Female,Yes,Fri,Dinner,2
15.38,3.00,Male,Yes,Fri,Dinner,2
44.30,2.50,Female,Yes,Sat,Dinner,3
22.42,3.48,Female,Yes,Sat,Dinner,2
20.92,4.08,Female,Yes,Sat,Dinner,2
15.36,1.64,Male,Yes,Sat,Dinner,2
20.49,4.06,Male,Yes,Sat,Dinner,2
25.21,4.29,Male,Yes,Sat,Dinner,2
11.24,1.76,Male,Yes,Sun,Lunch,2
14.78,3.23,Male,No,Sun,Lunch,2
9.94,1.56,Male,No,Sun,Lunch,2
12.9,1.1,Female,Yes,Sun,Lunch,2
9.68,1.32,Male,No,Sun,Lunch,2
12.74,2.01,Female,Yes,Sun,Breakfast,2
8.51,1.25,Male,Yes,Sun,Breakfast,2
6.73,1.01,Male,Yes,Sun,Breakfast,2
7.58,1.67,Male,No,Sun,Breakfast,2
10.27,1.71,Male,No,Sun,Breakfast,2
8.26,1.0,Male,No,Sun,Breakfast,2
